"id","name","series"
"37911","Saeko Sawatari #2","How Do We Relationship?"
"37910","Saeko Sawatari #1","How Do We Relationship?"
"37909","Miwa Inuzuka #4","How Do We Relationship?"
"37908","Miwa Inuzuka #3","How Do We Relationship?"
"37907","Miwa Inuzuka #2","How Do We Relationship?"
"37906","Celeste #2","Lightlark"
"37905","Celeste #1","Lightlark"
"37904","Oro Rey #1","Lightlark"
"37903","Grimshaw Malvere #1","Lightlark"
"37902","Elain Archeron #1","A Court of Thorns and Roses"
"37901","Azriel #1","A Court of Thorns and Roses"
"37900","Park Dojin #1","Love is an Illusion!"
"37899","Xanxus #2","Reborn!"
"37898","Xanxus #1","Reborn!"
"37897","Kim Hyesung #2","Love is an Illusion!"
"37896","Mike Morton #5","Identity V"
"37895","Mike Morton #4","Identity V"
"37894","Mike Morton #3","Identity V"
"37893","Mike Morton #2","Identity V"
"37892","Mike Morton #1","Identity V"
"37891","Park Geonyeob #2","Study Group"
"37890","Phi Hanwool #4","Study Group"
"37889","Phi Hanwool #3","Study Group"
"37888","Phi Hanwool #2","Study Group"
"37887","Jeong Taeui #4","Passion"
"37886","Lulu #2","Big Love From Ultra Deep Space"
"37885","Lulu #1","Big Love From Ultra Deep Space"
"37884","Ten Teradate #2","Big Love From Ultra Deep Space"
"37883","Ten Teradate #1","Big Love From Ultra Deep Space"
"37882","K1-B0 #4","Danganronpa V3: Killing Harmony"
"37881","Robbie Whyte #6","Identity V"
"37880","Fan Wujiu #4","Identity V"
"37879","Fan Wujiu #3","Identity V"
"37878","Park Geonyeob #1","Study Group"
"37877","Silver Wolf #11","Honkai: Star Rail"
"37876","Yoo Sangah #9","Omniscient Reader's Viewpoint"
"37875","Coco #14","Witch Hat Atelier"
"37874","Coco #13","Witch Hat Atelier"
"37873","Qifrey #6","Witch Hat Atelier"
"37872","Ren Amamiya #18","Persona 5"
"37871","Chaos #4","NTE: Neverness to Everness"
"37870","Chaos #3","NTE: Neverness to Everness"
"37869","Kotoko Utsugi #1","Danganronpa Another Episode: Ultra Despair Girls"
"37868","Jichuan #5","Path To Nowhere"
"37867","Jichuan #4","Path To Nowhere"
"37866","Jichuan #3","Path To Nowhere"
"37865","Jichuan #2","Path To Nowhere"
"37864","Jichuan #1","Path To Nowhere"
"37863","Xie Bi'an #6","Identity V"
"37862","Xie Bi'an #5","Identity V"
"37861","Xie Bi'an #4","Identity V"
"37860","Xie Bi'an #3","Identity V"
"37859","Sariel #6","Light and Night"
"37858","Osborn #10","Light and Night"
"37857","Helena Adams #1","Identity V"
"37856","Margaretha Zelle #4","Identity V"
"37855","Margaretha Zelle #3","Identity V"
"37854","Margaretha Zelle #2","Identity V"
"37853","Margaretha Zelle #1","Identity V"
"37852","Sang Zhi #8","Hidden Love"
"37851","Phi Hanwool #1","Study Group"
"37850","Koutarou Bokuto #6","Haikyu!!"
"37849","Peach Blossom Cookie #1","Cookie Run Series"
"37848","Emu Otori #19","Project SEKAI: Colorful Stage!"
"37847","Qifrey #5","Witch Hat Atelier"
"37846","Yuta Kujou #1","Pearl Boy: Ignite the Dawn"
"37845","Chase Miller #3","Kiss Me If You Can"
"37844","Nozomi Madoka #3","Ensemble Stars!!"
"37843","Nozomi Madoka #2","Ensemble Stars!!"
"37842","Qin Shi Huang #3","Record of Ragnarok"
"37841","Hiyori #4","Princess Connect! Re:Dive"
"37840","Nita #4","Snowbreak: Containment Zone"
"37839","Sonetto #13","Reverse: 1999"
"37838","Vertin #15","Reverse: 1999"
"37837","Yui #4","Princess Connect! Re:Dive"
"37836","Seofon #4","Granblue Fantasy"
"37835","Umiri Yahata #1","BanG Dream!"
"37834","Vezalius Bandage #1","Nijisanji"
"37833","Gorou #7","Genshin Impact"
"37832","Shinobu Sengoku #10","Ensemble Stars!!"
"37831","Yaeka Kitamori #1","Botan Kamiina Fully Blossoms When Drunk"
"37830","Kanade Gujou #1","Botan Kamiina Fully Blossoms When Drunk"
"37829","Ibuki Tonami #2","Botan Kamiina Fully Blossoms When Drunk"
"37828","Ibuki Tonami #1","Botan Kamiina Fully Blossoms When Drunk"
"37827","Espresso Cookie #6","Cookie Run Series"
"37826","Kamiina Botan #4","Botan Kamiina Fully Blossoms When Drunk"
"37825","Kamiina Botan #3","Botan Kamiina Fully Blossoms When Drunk"
"37824","Kamiina Botan #2","Botan Kamiina Fully Blossoms When Drunk"
"37823","Kamiina Botan #1","Botan Kamiina Fully Blossoms When Drunk"
"37822","Xerxes Break #5","Pandora Hearts"
"37821","Gilbert Bougainvillea #1","Violet Evergarden"
"37820","Lee Hankyeong #3","Study Group"
"37819","Lee Hankyeong #2","Study Group"
"37818","Lee Hankyeong #1","Study Group"
"37817","Clarence Clayden #20","Lovebrush Chronicles"
"37816","Clarence Clayden #19","Lovebrush Chronicles"
"37815","Changbin #2","Stray Kids"
"37814","Changbin #1","Stray Kids"
"37813","Hwei #2","League of Legends"
"37812","Zhongli #12","Genshin Impact"
"37811","Zhongli #11","Genshin Impact"
"37810","Leblanc #9","League of Legends"
"37809","G-Dragon #3","BIGBANG"
"37808","SUNMI #3","K-pop Soloists"
"37807","G-Dragon #2","BIGBANG"
"37806","SUNMI #2","K-pop Soloists"
"37805","Yoo Seung Eon #2","And2ble"
"37804","G-Dragon #1","BIGBANG"
"37803","SUNMI #1","K-pop Soloists"
"37802","Zhang Hao #2","And2ble"
"37801","Ricky #2","And2ble"
"37800","Yoo Seung Eon #1","And2ble"
"37799","Kim Gyu Vin #2","And2ble"
"37798","Han Yu Jin #2","And2ble"
"37797","Zhang Hao #1","And2ble"
"37796","Ricky #1","And2ble"
"37795","Sung Hanbin #2","ZEROBASEONE"
"37794","Kim Gyu Vin #1","And2ble"
"37793","Han Yu Jin #1","And2ble"
"37792","Kim Jiwoong #2","ZEROBASEONE"
"37791","Sung Hanbin #1","ZEROBASEONE"
"37790","Seok Matthew #2","ZEROBASEONE"
"37789","Hwasa #3","MAMAMOO"
"37788","Kim Jiwoong #1","ZEROBASEONE"
"37787","Park Gun Wook #2","ZEROBASEONE"
"37786","Kim Tae Rae #2","ZEROBASEONE"
"37785","Seok Matthew #1","ZEROBASEONE"
"37784","Hwasa #2","MAMAMOO"
"37783","Moonbyul #2","MAMAMOO"
"37782","Park Gun Wook #1","ZEROBASEONE"
"37781","Wheein #2","MAMAMOO"
"37780","Kim Tae Rae #1","ZEROBASEONE"
"37779","Hwasa #1","MAMAMOO"
"37778","Moonbyul #1","MAMAMOO"
"37777","Wheein #1","MAMAMOO"
"37776","Solar #2","MAMAMOO"
"37775","Taehyun #2","TOMORROW X TOGETHER"
"37774","Huening Kai #2","TOMORROW X TOGETHER"
"37773","Beomgyu #2","TOMORROW X TOGETHER"
"37772","Solar #1","MAMAMOO"
"37771","Yeonjun #2","TOMORROW X TOGETHER"
"37770","Taehyun #1","TOMORROW X TOGETHER"
"37769","Huening Kai #1","TOMORROW X TOGETHER"
"37768","Beomgyu #1","TOMORROW X TOGETHER"
"37767","Soobin #2","TOMORROW X TOGETHER"
"37766","Yeonjun #1","TOMORROW X TOGETHER"
"37765","Kyuhyun #2","Super Junior"
"37764","Donghae #2","Super Junior"
"37763","Eunhyuk #2","Super Junior"
"37762","Soobin #1","TOMORROW X TOGETHER"
"37761","Yesung #2","Super Junior"
"37760","Kyuhyun #1","Super Junior"
"37759","Donghae #1","Super Junior"
"37758","Eunhyuk #1","Super Junior"
"37757","Yesung #1","Super Junior"
"37756","Siwon #2","Super Junior"
"37755","Shindong #2","Super Junior"
"37754","Ryeowook #2","Super Junior"
"37753","Leeteuk #2","Super Junior"
"37752","Heechul #1","Super Junior"
"37751","Siwon #1","Super Junior"
"37750","Shindong #1","Super Junior"
"37749","Ryeowook #1","Super Junior"
"37748","Leeteuk #1","Super Junior"
"37747","Miyeon #3","I-DLE"
"37746","Minnie #3","I-DLE"
"37745","Soyeon #3","I-DLE"
"37744","Soojin #2","K-Pop Soloists"
"37743","S.Coups #5","SEVENTEEN"
"37742","Miyeon #2","I-DLE"
"37741","Minnie #2","I-DLE"
"37740","Soyeon #2","I-DLE"
"37739","Soojin #1","K-Pop Soloists"
"37738","S.Coups #4","SEVENTEEN"
"37737","Minnie #1","I-DLE"
"37736","Miyeon #1","I-DLE"
"37735","Soyeon #1","I-DLE"
"37734","Yuqi #3","I-DLE"
"37733","S.Coups #3","SEVENTEEN"
"37732","Shuhua #3","I-DLE"
"37731","Jessica #3","K-Pop Soloists"
"37730","Mingyu #4","SEVENTEEN"
"37729","Yuqi #2","I-DLE"
"37728","S.Coups #2","SEVENTEEN"
"37727","Shuhua #2","I-DLE"
"37726","Jessica #2","K-Pop Soloists"
"37725","Mingyu #3","SEVENTEEN"
"37724","Yuqi #1","I-DLE"
"37723","Shuhua #1","I-DLE"
"37722","Jessica #1","K-Pop Soloists"
"37721","S.Coups #1","SEVENTEEN"
"37720","Mingyu #2","SEVENTEEN"
"37719","Wonwoo #3","SEVENTEEN"
"37718","Woozi #2","SEVENTEEN"
"37717","Seungkwan #3","SEVENTEEN"
"37716","Vernon #2","SEVENTEEN"
"37715","Mingyu #1","SEVENTEEN"
"37714","Wonwoo #2","SEVENTEEN"
"37713","Woozi #1","SEVENTEEN"
